lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,lnnz*rnnz,lr*lc+lc*rc,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
130034,10558,1369,0.00082282,0.17,1129696,2458915,1372898972,14453902,178016546,1880000000000.0,0.000139879,24900.84764,262903149.4,2780000000000.0,1390000000.0,60,5036,5096,16428,46,12018
9247,4600,6508,0.01084252,0.15,461280,4491926,42536200,29936800,60179476,277000000000.0,0.001626378,97874.57582,450223048.8,2070000000000.0,72500000.0,103,3773,3876,7696,83,16290
88648,49392,11945,0.00296184,0.005,12968430,2949991,4378502016,589987440,1058900360,52300000000000.0,1.4800000000000002e-05,15681.467209999999,774539028.5,38300000000000.0,4970000000.0,5332,339996,345328,53227,2583,908915
20934,24889,3564,0.00160539,0.13,836506,11532585,521026326,88704396,74608776,1860000000000.0,0.000208701,15570.90378,387544224.1,9650000000000.0,610000000.0,358,5053,5411,12540,443,17103
113464,39310,12161,0.00491597,0.1,21926787,47808862,4460269840,478048910,1379835704,54200000000000.0,0.000491597,678323.0926,26664880769.0,1050000000000000.0,4940000000.0,3216,789097,792313,416693,2397,1754542
110718,29280,11136,0.00082487,0.15,2674171,48911206,3241823040,326062080,1232955648,36100000000000.0,0.000123731,152554.2188,4466787527.0,131000000000000.0,3570000000.0,11571,83429,95000,187367,1648,208696
22403,63795,26881,0.00082487,0.03,1178949,51448535,1429199385,1714873395,602215043,38400000000000.0,2.47e-05,14902.473680000001,950703308.1,60700000000000.0,3140000000.0,17421,57816,75237,57760,15345,212506
52088,15022,17838,0.00041097,0.03,321591,8039611,782465936,267962436,929145744,14000000000000.0,1.23e-05,11455.53079,172084983.6,2590000000000.0,1050000000.0,2755,19794,22549,14160,2694,46509
22975,2381,40471,0.00056263,0.2,30779,19273426,54703475,96361451,929821225,2210000000000.0,0.000112526,104629.0632,249121799.4,593000000000.0,151000000.0,351,12276,12627,16051,208,18168
86717,41736,3127,0.00078778,0.13,2851196,16971095,3619220712,130508472,271164059,11300000000000.0,0.000102411,27770.290910000003,1159020861.0,48400000000000.0,3750000000.0,1149,25575,26724,44749,294,57095
7297,11850,43501,0.00160539,0.03,138831,15465088,86469450,515486850,317426797,3760000000000.0,4.8200000000000006e-05,15287.81417,181160597.9,2150000000000.0,602000000.0,5091,15784,20875,17138,5266,23733
6385,25637,2198,0.02533638,0.13,4147755,7328250,163692245,56350126,14034230,360000000000.0,0.0032937290000000004,46224.95596,1185069196.0,30400000000000.0,220000000.0,169,10948,11117,7171,158,47983
50522,8252,10560,0.00296184,0.05,1234850,4357242,416907544,87141120,533512320,4400000000000.0,0.000148092,79008.90649,651981496.4,5380000000000.0,504000000.0,260,22221,22481,36522,179,73017
84252,55455,8994,0.00013363,0.07,624351,34917097,4672194660,498762270,757762488,42000000000000.0,9.35e-06,7088.186089,393075359.6,21800000000000.0,5170000000.0,8517,30762,39279,36571,1905,61989
74347,55846,7870,0.00952101,0.01,39531852,4395439,4151982562,439508020,585110890,32700000000000.0,9.520000000000001e-05,55708.46635,3111095012.0,174000000000000.0,4590000000.0,9793,528217,538010,100093,1966,1668677
66429,32330,13784,0.00047003,0.15,1009475,66849248,2147649570,445636720,915657336,29600000000000.0,7.049999999999999e-05,64557.96265,2087158932.0,67500000000000.0,2590000000.0,3029,52609,55638,123947,2287,87775
95374,20504,8198,2.09e-05,0.17,40832,28578981,1955548496,168091792,781876052,16000000000000.0,3.55e-06,2775.347234,56905719.69,1170000000000.0,2120000000.0,1748,16632,18380,4380,9944,16582
59470,41601,16892,0.00041097,0.01,1016753,7027616,2474011470,702724092,1004567240,41800000000000.0,4.11e-06,4128.469986,171748479.9,7150000000000.0,3180000000.0,4463,38478,42941,14283,4567,111859
9633,54419,3999,0.00018467,0.23,96810,50056127,524218227,217621581,38522367,2100000000000.0,4.2499999999999996e-05,1636.202868,89040523.88,4850000000000.0,742000000.0,10912,3083,13995,4361,1116,5103
14207,68075,5440,0.00019487,0.1,188471,37033719,967141525,370328000,77286080,5260000000000.0,1.9487e-05,1506.073841,102525976.7,6980000000000.0,1340000000.0,8702,6835,15537,6235,8612,11087
124514,47794,16982,8.43e-05,0.07,501618,56817108,5951022116,811637708,2114496748,101000000000000.0,5.9e-06,12476.165159999999,596285837.8,28500000000000.0,6760000000.0,13638,59125,72763,69418,3637,110454
77181,35387,4599,0.00015297,0.13,417799,21158611,2731204047,162744813,354955419,12600000000000.0,1.99e-05,7058.6789579999995,249785472.3,8840000000000.0,2890000000.0,1426,14238,15664,16480,1254,24822
23962,71633,21505,0.00056263,0.03,965770,46214520,1716469946,1540467665,515302810,36900000000000.0,1.6899999999999997e-05,8697.7446,623045538.9,44600000000000.0,3260000000.0,15810,46116,61926,47498,13919,154104
69289,39490,997,0.00860544,0.01,23546945,394054,2736222610,39371530,69081133,2730000000000.0,8.609999999999999e-05,5944.735452,234757603.0,9280000000000.0,2780000000.0,79,39731,39810,7777,66,124728
46389,21677,12584,0.00082185,0.17,826472,46376622,1005574353,272783368,583759176,12700000000000.0,0.000139715,81559.6214,1767967913.0,38300000000000.0,1280000000.0,1925,34539,36464,74011,709,62307
100118,11748,9226,0.00182521,0.25,2146861,27099502,1176186264,108387048,923688668,10900000000000.0,0.000456303,421481.4484,4951564056.0,58200000000000.0,1280000000.0,1219,55592,56811,152398,235,135648
117355,60103,17382,0.00108175,0.01,7630172,10447266,7053387565,1044710346,2039864610,123000000000000.0,1.0800000000000002e-05,22066.235419999997,1326246947.0,79700000000000.0,8100000000.0,7862,402044,409906,99940,4513,910000
134040,9258,2760,0.00491597,0.01,6100521,255554,1240942320,25552080,369950400,3430000000000.0,4.92e-05,18186.650680000002,168372012.0,1560000000000.0,1270000000.0,61,57039,57100,12710,315,121570
11952,74935,8091,0.00952101,0.005,8527475,3031693,895623120,606299085,96703632,7250000000000.0,4.7600000000000005e-05,4603.581236999999,344969360.0,25900000000000.0,1500000000.0,4637,94930,99567,10416,4416,366476
133764,1840,9040,0.00078778,0.15,193897,2495264,246125760,16633600,1209226560,2220000000000.0,0.00011816700000000001,142890.6749,262918841.8,484000000000.0,263000000.0,67,12577,12644,18996,48,22902
44505,35175,16888,0.00078778,0.07,1233261,41583426,1565463375,594035400,751600440,26400000000000.0,5.5100000000000004e-05,41446.70562,1457887870.0,51300000000000.0,2160000000.0,10617,49451,60068,75249,2876,133872
3325,56230,3560,0.00296184,0.23,553791,46047145,186964750,200178800,11837000,666000000000.0,0.000681223,8063.639018000001,453418422.0,25500000000000.0,387000000.0,2134,4745,6879,4584,1033,12925
35557,50527,33258,0.02533638,0.005,45519939,8402353,1796588539,1680426966,1182554706,59800000000000.0,0.000126682,149808.277,7569362812.0,382000000000000.0,3480000000.0,16185,2244357,2260542,174933,7344,7688832
