lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
127421,28581,11899,0.00082185,0.2,2993060,68021844,2588,125348,127936,274334,1777.0,268603.0
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954,13891.0,407728.0
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,20133,33049,319.0,26952.0
42031,2756,44667,1.651e-05,0.005,1912,615653,586,12771,13357,49,570.0,12966.0
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,12483,3588,2449.0,16525.0
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679,2684.0,169514.0
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,56936,89912,1360.0,75818.0
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,758857,490478,423.0,1760519.0
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,10375,4281,5036.0,13501.0
57272,32313,4744,0.00082487,0.001,1526582,153298,1190,13916,15106,483,1230.0,44144.0
113741,52296,7952,4.64e-06,0.13,27600,54062954,12650,31803,44453,3114,2111.0,37494.0
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,88785,106456,2918.0,241329.0
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783.0,1460959.0
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,1451966,354393,5666.0,4727456.0
73727,50453,6133,0.00108175,0.01,4023863,3094590,2564,46393,48957,17650,2245.0,144060.0
72079,1234,3739,0.00078778,0.01,70076,46150,20,2920,2940,157,14.0,4650.0
10952,3956,8948,1.651e-05,0.13,715,4602195,210,1890,2100,114,154.0,2297.0
90302,41868,6013,0.00018467,0.005,698195,1258961,1732,13918,15650,1582,1733.0,36181.0
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319.0,38176.0
55019,25927,22439,0.00047003,0.001,670493,581801,3152,34083,37235,1038,3171.0,100571.0
109214,23235,5850,1.651e-05,0.0005,41896,67969,618,7451,8069,21,615.0,9656.0
149203,49223,567,2.483e-05,0.27,182358,7537001,113,1078,1191,2096,103.0,3393.0
