lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
29953,2131,9350,0.00082487,0.3,52656,5978570,3755,10588,6397
131345,20463,9563,0.00182521,0.27,4905692,52839445,165338,265773,344783
22580,33030,15081,0.00078778,0.07,587567,34871461,27199,37603,65813
143107,69551,6835,0.00000434,0.13,43197,61802128,32032,3926,35055
52745,5375,31446,0.00056263,0.17,159512,28734323,26948,64744,48752
32293,98352,2386,0.00031941,0.13,1014481,30511506,6072,10224,10125
2876,2397,49094,0.02533638,0.27,174729,31776040,10239,23192,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,6244,31808,13699
118294,20939,4039,0.00034241,0.2,848149,16915945,13606,44205,32690
4962,7533,42916,0.00860544,0.2,321745,64663565,49235,49579,76678
24229,6527,12155,0.00952101,0.25,1505806,19835018,28941,48706,97842
70079,93697,14418,0.00034241,0.01,2248370,13509704,71149,29144,210460
85898,58075,6445,0.00370564,0.17,18485798,63637118,301012,270961,702813
11245,56010,8073,0.00019487,0.13,122741,58786002,7276,7970,12019
138185,32186,7066,0.00491597,0.23,21865146,52309993,529157,451442,1124554
135291,86397,9008,0.00163948,0.0005,19163682,389151,611157,5372,1273477
113381,42933,4233,0.00860544,0.07,41890630,12722307,497392,185512,1137366
99329,63754,3157,0.00031941,0.15,2022723,30194512,14775,47175,46165
126359,94113,1349,0.00031941,0.13,3798479,16514541,16151,32680,38709
64180,3726,23916,0.00296184,0.13,708381,11586162,36337,116156,103831
113464,39310,12161,0.00491597,0.1,21926787,47808862,789097,416693,1754542
52836,68274,4864,0.00952101,0.001,34345805,332133,263691,9288,877427
40403,90904,2211,0.00160539,0.3,5896288,60302294,21084,37877,71788
38879,64726,18126,0.00031941,0.005,803800,5866271,39364,7997,103892
112745,10219,10675,0.00015297,0.1,176246,10908998,15655,16460,27719
96812,59640,213,0.00160539,0.27,9269477,3436330,5183,7111,12669
141685,11046,7196,0.00041097,0.15,643231,11925181,19300,53239,42764
77620,23824,7966,0.00018467,0.03,341503,5693951,12598,7924,25997
7002,34276,7315,0.00015297,0.27,36713,67699271,3060,4839,4686
23575,8948,27730,0.00370564,0.27,781716,66996953,60451,107823,120840
140966,54271,5749,0.00002088,0.13,159741,40567960,23356,20061,25551
53554,40303,24466,0.00034241,0.03,739075,29582358,50785,44166,132058
114156,7995,9008,0.00013363,0.3,121974,21609624,16041,26740,21667
116075,22610,9987,0.01084252,0.27,28456074,60971279,826964,857444,1882301
32906,3914,31697,0.00008429,0.2,10858,24816783,16498,5068,17386
137955,35382,14524,0.00078778,0.1,3845302,51389721,199134,276094,437749
130389,74520,2007,0.00001651,0.2,160423,29926512,12886,5409,11857
81359,68007,17325,0.00078778,0.05,4358862,58912212,171468,205045,483893
98260,16174,8581,0.00491597,0.13,7813044,18043845,172995,165157,420081
15559,17880,12488,0.00015297,0.17,42558,37963300,4286,6444,18020
123371,30844,8668,0.00160539,0.13,6109075,34757461,173106,198590,377116
27298,79766,4489,0.00163948,0.01,3569962,3581339,25667,11252,89637
141553,4492,5300,0.00047003,0.23,298938,5477088,9590,26853,18896
5226,6183,36112,0.00296184,0.2,95718,44659764,6759,19148,22029
106799,17837,15074,0.00952101,0.2,18137811,53778313,720904,555376,1730856
97393,27304,10877,0.00041097,0.03,1092894,8909871,32523,29861,90149
14070,53083,14692,0.02533638,0.01,18924549,7799590,376718,35437,1439452
47748,2131,15014,0.00160539,0.23,163390,7360783,9706,35097,20323
88232,60784,23716,0.00182521,0.001,9788985,1441623,526233,17520,1410079
58590,32693,7041,0.00108175,0.13,2072146,29926629,34854,57292,82174
