lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
137955,35382,14524,0.00078778,0.1,3845302,51389721,13160,199134,212294,276094
81359,68007,17325,0.00078778,0.05,4358862,58912212,17417,171468,188885,205045
98260,16174,8581,0.00491597,0.13,7813044,18043845,1286,172995,174281,165157
15559,17880,12488,0.00015297,0.17,42558,37963300,8604,4286,12890,6444
123371,30844,8668,0.00160539,0.13,6109075,34757461,9252,173106,182358,198590
141553,4492,5300,0.00047003,0.23,298938,5477088,138,9590,9728,26853
5226,6183,36112,0.00296184,0.2,95718,44659764,1814,6759,8573,19148
47748,2131,15014,0.00160539,0.23,163390,7360783,121,9706,9827,35097
88232,60784,23716,0.00182521,0.001,9788985,1441623,7821,526233,534054,17520
58590,32693,7041,0.00108175,0.13,2072146,29926629,1632,34854,36486,57292
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,81745,76994
84201,22342,9230,0.01084252,0.2,20397716,41245006,1550,391455,393005,385863
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,60825,24041
49865,41784,1999,0.00082282,0.27,1714412,22559740,369,5841,6210,16648
39010,9078,33934,0.00370564,0.15,1312402,46212117,10630,79431,90061,189461
59470,41601,16892,0.00041097,0.01,1016753,7027616,4463,38478,42941,14283
83377,64028,11307,0.00041097,0.03,2194003,21720017,7553,59569,67122,66023
36458,44661,39969,0.00952101,0.005,15503072,8925613,12333,934983,947316,138056
63548,45979,19191,0.00056263,0.05,1643964,44120881,12343,72080,84423,117006
26703,74691,22749,8.43E-05,0.01,168118,16992017,10468,38779,49247,3553
63747,46730,22053,0.00082185,0.005,2448262,5152867,5745,94304,100049,19598
131722,73298,2970,0.00034241,0.07,3305963,15243092,4547,35055,39602,44417
33185,86416,16935,0.00952101,0.001,27304208,1463532,10852,680854,691706,24813
147751,75258,10129,0.00031941,0.005,3551712,3811632,4541,128220,132761,14374
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,285607,162839
119561,1522,6054,0.01084252,0.17,1973556,1566962,70,27729,27799,71045
59148,13274,9381,0.01084252,0.005,8513016,622645,184,132249,132433,26554
100118,11748,9226,0.00182521,0.25,2146861,27099502,1219,55592,56811,152398
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,86995,11701
33442,7980,13858,0.00041097,0.23,109680,25436471,1098,14760,15858,25018
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,10838,3822
84252,55455,8994,0.00013363,0.07,624351,34917097,8517,30762,39279,36571
104484,3891,5277,0.00491597,0.13,1998911,2669932,127,25872,25999,58553
47679,20880,10732,0.01084252,0.05,10794459,11205034,5452,187032,192484,83706
23231,3666,17528,0.01084252,0.15,923543,9640168,267,23470,23737,51971
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,32940,69208
42661,98275,810,0.00082282,0.3,3449722,23882852,841,4908,5749,11151
124491,2989,8506,0.00019487,0.25,72515,6356963,105,10439,10544,12515
41526,6876,37572,2.48E-05,0.17,7090,43921099,9862,21326,31188,3534
92892,29227,5911,0.00015297,0.23,415318,39742536,1718,22950,24668,49584
136773,60533,4472,2.09E-05,0.13,172872,35191674,8172,21816,29988,8839
12971,33483,15175,0.00182521,0.13,792721,66058274,15136,19275,34411,27075
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,47631,29292
50522,8252,10560,0.00296184,0.05,1234850,4357242,260,22221,22481,36522
35557,50527,33258,0.02533638,0.005,45519939,8402353,16185,2244357,2260542,174933
73339,16870,16588,0.00182521,0.23,2258237,64363645,2189,84968,87157,226839
86521,33964,16898,0.00370564,0.1,10889559,57393292,16040,421135,437175,332223
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,14317,3486
26691,23258,14148,0.00041097,0.03,255133,9872247,3389,14114,17503,7660
98066,41967,4088,0.00082282,0.23,3386379,39465343,1734,48364,50098,79696
116613,13871,7347,0.00082185,0.07,1329414,7134207,285,25648,25933,48013
146723,50138,9134,0.00031941,0.13,2349750,59535716,13810,86127,99937,179105
88274,73012,4168,0.00015297,0.2,985914,60871976,13384,10803,24187,41958
146067,6562,7358,2.48E-05,0.25,23801,12072634,182,10154,10336,3023
125857,42282,11878,0.00108175,0.13,5756540,65294101,15849,242265,258114,279746
128261,9592,15190,0.00034241,0.27,421271,39342141,1546,40058,41604,128722
40058,38153,33365,0.00108175,0.005,1653316,6365225,6987,88492,95479,19656
130451,3348,5445,0.00056263,0.27,245799,4923828,99,8656,8755,25765
51667,59315,34324,0.00296184,0.01,9077075,20359700,14624,506844,521468,167222
35930,18510,43427,0.00108175,0.05,719456,40193270,11389,67415,78804,113626
102296,49130,19240,0.00082487,0.001,4145695,945278,4994,204505,209499,5284
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,80618,98574
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,440693,230110
45392,20350,19204,0.00013363,0.13,123441,50807587,11456,31389,42845,20828
80022,60627,9037,0.00019487,0.1,945424,54794058,12765,43397,56162,76519
44171,76085,461,0.00296184,0.3,9954267,10531483,165,7240,7405,11527
90671,14282,15507,1.65E-05,0.2,21380,44297385,9679,19951,29630,5388
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,292086,20373
58210,37778,9183,0.00108175,0.03,2378882,10408478,3607,40075,43682,43297
31683,32508,6174,0.00015297,0.17,157556,34122834,7512,4775,12287,9600
2739,78424,15866,0.00018467,0.05,39677,62217421,17247,11033,28280,3192
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,9938,14390
65858,3776,26687,0.00078778,0.27,195927,27211303,1144,29747,30891,93396
44704,5811,14677,0.00108175,0.17,281051,14501473,785,12487,13272,43810
66823,75696,25692,0.00163948,0.03,8293048,58345779,21442,387678,409120,258484
74994,27738,25355,0.00082185,0.05,1709621,35165355,10071,92243,102314,148103
66726,22607,1330,0.00163948,0.13,2473191,3910963,135,7157,7292,13739
36799,5092,43610,0.00047003,0.03,88077,6662024,2330,21095,23425,9040
44946,23862,10346,0.00013363,0.05,143321,12345012,3432,12664,16096,5487
142307,8033,2625,0.00163948,0.27,1874270,5695502,93,15165,15258,49099
