lr,lc,rc,ld,rd,lnnz,rnnz,lr*lc,lc*rc,lr*rc,lr*lc*rc,ld*rd,lr*rc*ld*rd,lr*lc*rc*ld*rd,sp_smdm,bz_smsm,bz_smdm
5977,61918,23382,0.00860544,0.03,3185260,43435153,370083886,1447766676,139754214,8653301422452,0.0002581632,36079.3950997248,2233963985.7847605,103455,31954,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,172390306,155284986,737932404,4444566869292,9.564710000000002e-05,70581.09443862841,425109931.80385894,18654,33049,26952
35424,35266,7029,0.00018467,0.03,230702,7437151,1249262784,247884714,248995296,8781068108736,5.5401e-06,1379.4588393696001,48647995.429208316,9904,3588,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,373890304,449040744,230577696,6221908548864,2.457985e-05,5667.565181025601,152933578.8447948,39979,10679,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,2856649870,341952760,654596548,25287064649240,7.05045e-05,46152.002318466,1782851849.5623415,44968,89912,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,2763459909,191426928,1073662128,23832078255216,0.001626378,1746180.4644123837,38759967768.56168,756963,490478,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,1153874510,203137420,25241192,2432367467080,8.2185e-05,2074.44736452,199904120.2819698,5377,4281,13501
113741,52296,7952,4.64e-06,0.13,27600,54062954,5948199336,415857792,904468432,47300081119872,6.032e-07,545.5753581824,28531408.931506786,31803,3114,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,3132621450,594333126,740516175,37130962046850,5.408750000000001e-05,40052.668615312505,2008320909.7089994,80268,106456,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,6555715535,1522302405,1737252075,131671546520475,9.126050000000001e-07,1585.424929905375,120164111.7123181,528523,10871,1460959
67778,67468,17886,0.01084252,0.03,49582161,36203817,4572846104,1206732648,1212277308,81789925416144,0.00032527559999999997,394324.22872608475,26604267063.691486,1430273,354393,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,3719748331,309428249,452167691,22813216514023,1.0817500000000001e-05,4891.3239973925,246781969.6404438,46393,17650,144060
60740,33953,7347,0.00015297,0.27,315475,67355810,2062305220,249452691,446256780,15151756451340,4.13019e-05,18431.252901882,625796329.7775996,33219,34511,38176
134395,43005,4828,2.088e-05,0.25,120680,51907729,5779656975,207628140,648859060,27904183875300,5.22e-06,3387.0442932,145659839.829066,25594,23945,20076
142067,99650,3320,0.00041097,0.13,5818115,43014289,14156976550,330838000,471662440,47001162146000,5.34261e-05,25199.084685684,2511088788.9284105,85335,89320,156235
91878,79011,1585,0.00047003,0.3,3412190,37577321,7259372658,125232435,145626630,11506105662930,0.000141009,20534.665469670002,1622464453.4240963,12034,31053,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,2111421080,57475555,602264456,8549143952920,0.0002054625,123742.76079089999,1756528489.4268253,21401,79891,53723
51691,40676,21979,0.00491597,0.0005,10336477,447028,2102583116,894017804,1136116489,46212674306564,2.4579850000000002e-06,2792.5572882146653,113590060.25541973,357254,8025,1185490
131355,2093,9379,0.00952101,0.03,2617806,588994,274926015,19630247,1231978545,2578531094685,0.0002856303,351890.4014019135,736506610.1342049,58983,44833,165750
23823,4098,31372,0.00082185,0.13,80255,16717387,97626654,128562456,747375156,3062743389288,0.0001068405,79849.93535461799,327225035.08322453,14660,25260,24623
79806,43266,11330,0.00160539,0.13,5543327,63733088,3452886396,490203780,904201980,39121202866680,0.0002087007,188707.58616738598,8164622423.118123,139780,203480,357598
134593,43061,8367,0.00108175,0.13,6269567,46841184,5795709173,360291387,1126139631,48492698650491,0.0001406275,158366.2009584525,6819406979.471924,188265,205587,378241
1845,30962,44492,0.00952101,0.005,544057,6888066,57124890,1377561304,82087740,2541600605880,4.760505e-05,3907.790967087,120993023.92294769,41238,5525,141780
41847,20929,6892,0.00491597,0.1,4305644,14424885,875815863,144242668,288409524,6036122927796,0.0004915970000000001,141781.256769828,2967339922.9357305,50113,43913,155025
41029,74071,14479,0.00491597,0.03,14940441,32175416,3039059059,1072474009,594058891,44002536115261,0.0001474791,87611.2705916781,6489454423.996189,324280,98583,1135680
47220,24989,19836,0.02533638,0.05,29897665,24784903,1179980580,495681804,936655920,23406094784880,0.001266819,1186573.51591848,29651285589.286896,881988,266948,3006991
118043,87390,12550,0.00182521,0.0005,18828527,548385,10315777770,1096744500,1481439650,129463011013500,9.126050000000001e-07,1351.9692317882502,118148591.16597518,706167,7686,1589000
83322,26300,2170,0.00491597,0.25,10773141,14271019,2191368600,57071000,180808740,4755269862000,0.0012289925,222212.58539445003,5844190995.874036,48066,69791,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,323039024,435867894,405506376,7556205810384,7.8778e-05,31944.981288528,595262781.3304307,28449,38387,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,690571773,112838525,677946825,7268267910825,9.5823e-06,6496.289861197501,69646723.60189839,10179,4762,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,3144386925,388605999,710556075,29466049874175,4.4513300000000006e-05,31629.195733297503,1311631117.864114,38378,89502,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,2361936360,35587380,179162578,3880661439480,4.9184399999999996e-05,8812.0039013832,190868004.5039601,17736,13104,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,5180308441,118821872,318766448,14007554024464,2.6004900000000002e-05,8289.4896035952,364265041.6507839,14462,29899,18511
70411,11972,24600,0.00013363,0.13,112654,38290496,842960492,294511200,1732110600,20736828103200,1.7371900000000002e-05,30090.052132140005,360238104.1259801,33516,39323,31380
45114,10492,24379,0.00491597,0.01,2327126,2558055,473336088,255784468,1099834206,11539460489352,4.91597e-05,54067.519616698206,567276415.8183976,80791,33352,301658
117867,21275,9275,0.00018467,0.13,463104,25653800,2507620425,197325625,1093216425,23258179441875,2.4007100000000003e-05,26244.956036617503,558361439.6790373,24610,45113,49129
