lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
57221,61539,20390,0.00182521,0.005,6427228,6274107,7954,214583,222537,48037
73918,20432,14602,0.00108175,0.05,1633797,14918346,4313,47641,51954,78164
32352,73752,28061,0.00163948,0.01,3911935,20695721,13470,174420,187890,75940
19053,5909,27521,0.00031941,0.17,35965,27650357,1530,15847,17377,10775
44607,19677,39166,0.00952101,0.005,8357244,3853527,5661,477671,483332,92943
38268,81011,14807,0.00047003,0.03,1457165,35986213,12288,43058,55346,46217
132093,55926,7122,0.00082282,0.15,6078625,59750458,14623,160321,174944,201807
18531,49721,8755,0.00056263,0.07,518413,30473466,7497,10840,18337,15634
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586
91534,90483,8372,0.00056263,0.005,4659902,3787658,4711,93334,98045,14965
89398,60028,20137,0.00952101,5.00E-04,51094075,604412,15981,2301706,2317687,36508
88618,85186,4158,0.00082282,0.005,6211553,1771071,2949,61762,64711,11797
75568,16383,12784,0.00047003,0.2,581926,41891097,1580,35713,37293,92044
68113,13437,20825,0.00041097,0.17,376160,47574732,10361,31145,41506,108063
50356,4068,16876,0.00041097,0.25,84193,17164582,639,11223,11862,24212
10790,12194,40234,0.00018467,0.13,24300,63785073,13931,7522,21453,8820
2722,44253,7025,0.00182521,0.15,219888,46638421,10298,6079,16377,4172
142072,17946,11968,0.00082487,0.2,2103129,42957373,1502,86842,88344,232804
70048,28008,26539,0.00082185,0.05,1612399,37166650,10781,91896,102677,152568
100808,17638,14925,0.00082282,0.2,1463054,52651214,12089,58711,70800,209877
129536,95059,1952,0.00078778,0.17,9700462,31551020,1824,81077,82901,72505
65163,9342,6235,0.00082282,0.03,500927,1747705,147,8758,8905,7724
73213,32765,17356,0.00078778,0.07,1889801,39808269,10199,75464,85663,145838
35614,57724,23989,0.00019487,0.03,400623,41543475,14207,49675,63882,30970
52019,19591,23435,0.00296184,0.01,3018553,4591472,3386,110283,113669,47088
14556,57246,26971,0.00370564,0.03,3087915,46321340,16222,119398,135620,61188
29927,62586,11380,0.00182521,0.01,3418698,7122438,4903,57735,62638,24762
8790,21008,5266,0.00370564,0.13,684341,14382335,1052,5246,6298,6484
62685,8764,21359,0.00860544,0.3,4728119,56165045,2165,177777,179942,356487
131054,99310,12348,0.00082282,5.00E-04,10709064,613151,7114,448522,455636,4571
121477,76645,4221,0.00108175,0.2,10071912,64704944,2577,165724,168301,174168
31675,6269,42255,0.01084252,0.17,2153149,45035833,1920,134080,136000,235241
13665,51673,35578,0.00296184,0.001,2091471,1838479,8932,110533,119465,5071
28048,74855,22865,0.00041097,0.03,862884,51349575,17632,48293,65925,61197
74912,1334,3484,0.00160539,0.27,160485,1255295,38,3318,3356,9640
114172,84698,4706,0.00031941,0.13,3088770,51822721,12442,38351,50793,93321
95780,10019,13673,0.00860544,0.2,8258001,27398640,1482,276399,277881,335815
43985,51149,5612,0.00019487,0.2,438430,57413097,2298,31485,33783,23857
37478,44058,20620,0.00163948,0.05,2707214,45424658,13670,100540,114210,119852
43277,34415,10719,2.09E-05,0.17,31099,62713614,14002,6385,20387,5309
74690,89120,1325,0.00952101,0.3,63375803,35445931,1300,137558,138858,203002
19873,25286,15199,0.00082487,0.01,414516,3843351,2474,15450,17924,4286
22793,33724,31752,0.02533638,0.05,19476525,53542218,18320,920814,939134,277580
43685,44183,21364,0.00296184,0.03,5716843,28319082,10545,204657,215202,127256
65748,99094,10392,0.00160539,0.03,10459562,30896059,12089,181245,193334,112078
97141,34028,686,0.00108175,0.15,3575866,3504419,83,6321,6404,9944
67016,70511,14954,0.00491597,0.01,23230088,10544468,10644,574583,585227,136721
90385,90948,10324,0.00082282,0.01,6763959,9390426,6997,172498,179495,54106
102500,24094,2280,0.00491597,0.13,12140976,7142411,168,74390,74558,62418
147051,82507,5608,1.65E-05,0.1,200313,46271228,10604,27321,37925,10300
72704,18392,4955,0.00019487,0.25,260581,22786062,1064,11483,12547,24885
8177,95526,12402,0.00041097,0.05,321034,59238666,16223,22135,38358,10547
112565,11985,8360,0.00019487,0.15,262921,15030495,856,13501,14357,27291
19520,28939,5171,0.00013363,0.15,75487,22446812,1420,3042,4462,3942
20831,8682,41118,0.00013363,0.13,24169,46412372,2382,22834,25216,19098
59734,36977,34447,0.00078778,0.001,1740081,1273791,6126,101124,107250,4026
142896,21726,14369,0.00047003,0.05,1459268,15609663,4427,63778,68205,81302
87110,32352,7509,0.00082487,0.17,2324706,41300557,1716,54561,56277,111633
28442,20562,34164,0.00031941,0.05,186808,35125405,9842,33078,42920,29548
136127,63170,15066,0.00082487,5.00E-04,7093277,475885,5202,369239,374441,3449
142708,11407,11904,0.00031941,0.25,519997,33950284,1329,33190,34519,117107
51481,96219,1803,0.00082487,0.07,4086061,12147185,1592,12730,14322,13930
84371,56043,3237,0.00082487,0.17,3900416,30847285,1746,42960,44706,58925
18919,5369,38328,0.00018467,0.13,18758,26752322,1356,15970,17326,12545
68204,96895,3091,1.65E-05,0.23,109109,68892016,14956,4938,19894,7097
95770,67892,894,0.00056263,0.13,3658263,7895872,180,8343,8523,13589
106020,59554,2520,0.00056263,0.27,3552434,40522244,1604,36821,38425,54572
10038,78818,13331,0.01084252,0.005,8579132,5253717,7197,155216,162413,19527
99276,24662,14700,0.00163948,0.13,4014099,47133065,11755,154550,166305,222505
77291,3698,16712,0.02533638,0.05,7242093,3090220,180,195461,195641,158371
111385,753,14947,0.01084252,0.17,909650,1913960,62,32770,32832,107097
30002,45234,6709,0.00047003,0.23,637890,69803971,2499,43267,45766,27299
6385,25637,2198,0.02533638,0.13,4147755,7328250,169,10948,11117,7171
34294,31500,4916,0.00160539,0.07,1734270,10840339,1462,12127,13589,22804
111072,80551,12379,8.43E-05,0.03,754142,29914794,10185,50375,60560,29777
123079,89487,5142,0.00491597,0.15,54145161,69023104,3114,915382,918496,501432
21438,64521,24446,0.00013363,0.01,184842,15773406,9764,38282,48046,3664
22032,31720,9581,2.48E-05,0.15,17353,45587985,2085,17398,19483,3014
115719,20583,6112,0.01084252,0.3,25826382,37745702,1489,444757,446246,482829
143714,22980,12572,1.65E-05,0.2,54526,57785245,2254,43715,45969,11312
119630,45305,2454,0.01084252,0.25,58765872,27799424,1077,398561,399638,347977
93688,68661,1699,0.00491597,0.03,31623603,3500534,267,132079,132346,32200
110718,29280,11136,0.00082487,0.15,2674171,48911206,11571,83429,95000,187367
15680,14140,18518,0.01084252,0.1,2404173,26186650,6754,52143,58897,59118
137014,11631,9552,0.00160539,0.15,2558512,16666296,1097,70902,71999,155939
72890,27850,27190,2.09E-05,0.03,42386,22717755,7593,33305,40898,3124
21666,33248,5593,0.00952101,0.005,6858738,929873,370,54977,55347,10647
96949,81327,14697,0.00160539,5.00E-04,12657865,597650,7227,462071,469298,5323
95374,20504,8198,2.09E-05,0.17,40832,28578981,1748,16632,18380,4380
42644,63792,14611,0.00082282,0.07,2238381,65248083,16097,77926,94023,90697
126403,24422,11234,0.00491597,5.00E-04,15176022,137190,3631,520835,524466,3897
42738,34811,33201,0.00108175,0.03,1609436,34674352,11770,97287,109057,105966
63724,95476,2057,0.00952101,0.25,57927529,49106905,2108,187425,189533,226254
77698,6250,17920,0.00082487,0.3,400582,33602895,1237,32608,33845,128476
78663,19299,12625,0.00082185,0.005,1247707,1218330,1769,34050,35819,6428
38606,87918,4883,0.00491597,0.005,16685899,2146730,5099,129739,134838,20147
66429,32330,13784,0.00047003,0.15,1009475,66849248,3029,52609,55638,123947
64097,29365,29174,0.00182521,0.005,3435449,4283573,5038,163267,168305,35713
100514,35548,10445,0.00182521,0.15,6521707,55698280,14215,192807,207022,233497
114462,63098,14564,0.00860544,0.005,62151931,4595101,14945,2535530,2550475,208736
142780,54030,6777,0.00296184,0.17,22849102,62254817,18996,561045,580041,378472
135369,2777,4545,0.00296184,0.25,1113521,3156135,63,14666,14729,57759
62466,4438,32038,0.00108175,0.13,299930,18486882,1269,33532,34801,84903
21709,41970,48083,0.00082185,0.005,748834,10090381,10862,74650,85512,12222
