lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
57621,24396,20707,0.00002088,0.03,29351,15155164,4840,21136,1433,4770,26717
63185,35864,30908,0.00034241,0.05,775950,55426907,15032,75389,104589,5371,180799
39684,35674,39856,0.02533638,0.0005,35870059,710931,12550,2049867,44884,10804,7503112
145742,7273,5457,0.00041097,0.15,435646,5954690,132,11524,27591,92,24668
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,49699,372,78718
62516,9071,33530,0.00031941,0.005,181142,1520859,1783,27333,2176,1911,57706
104687,62677,694,0.00031941,0.15,2095829,6529094,141,3692,9602,198,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,1447,6383,18750,636,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,63377,289,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,140,9024,27148,209,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,89916,2912,250530
2674,8224,46590,0.00000464,0.005,102,1915940,2293,1898,36,2562,3091
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,14781,33,12013
2006,23895,5687,0.00000434,0.23,208,31258000,1401,488,218,290,884
127421,28581,11899,0.00082185,0.2,2993060,68021844,2588,125348,274334,1777,268603
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,31954,13891,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,33049,319,26952
42031,2756,44667,0.00001651,0.005,1912,615653,586,12771,49,570,12966
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,3588,2449,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,10679,2684,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,89912,1360,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,490478,423,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,4281,5036,13501
57272,32313,4744,0.00082487,0.001,1526582,153298,1190,13916,483,1230,44144
113741,52296,7952,0.00000464,0.13,27600,54062954,12650,31803,3114,2111,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,106456,2918,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,10871,8783,1460959
