lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
136773,60533,4472,2.09e-05,0.13,172872,35191674,8172,21816,29988,8839,7988,20734
77879,63025,11611,0.00013363,0.05,655911,36592561,9849,37782,47631,29292,9044,75373
50522,8252,10560,0.00296184,0.05,1234850,4357242,260,22221,22481,36522,179,73017
35557,50527,33258,0.02533638,0.005,45519939,8402353,16185,2244357,2260542,174933,7344,7688832
86521,33964,16898,0.00370564,0.1,10889559,57393292,16040,421135,437175,332223,2879,1059022
116613,13871,7347,0.00082185,0.07,1329414,7134207,285,25648,25933,48013,262,70933
25669,4966,8747,0.00082185,0.2,104775,8688468,371,4782,5153,12479,240,9104
40058,38153,33365,0.00108175,0.005,1653316,6365225,6987,88492,95479,19656,6999,315380
130451,3348,5445,0.00056263,0.27,245799,4923828,99,8656,8755,25765,54,15951
51667,59315,34324,0.00296184,0.01,9077075,20359700,14624,506844,521468,167222,8568,1645889
10672,69703,3104,0.02533638,0.27,18847451,58433424,1816,78802,80618,98574,1143,296070
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,440693,230110,6095,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,11456,31389,42845,20828,11109,28563
63788,71216,18054,0.00182521,0.03,8291531,38574127,14737,267031,281768,166723,6009,819427
89490,74614,2024,0.00952101,0.001,63574769,151024,195,291891,292086,20373,498,740885
58210,37778,9183,0.00108175,0.03,2378882,10408478,3607,40075,43682,43297,1641,126355
31683,32508,6174,0.00015297,0.17,157556,34122834,7512,4775,12287,9600,1043,9435
2739,78424,15866,0.00018467,0.05,39677,62217421,17247,11033,28280,3192,15765,16014
6103,20251,12405,0.00296184,0.27,366104,67833284,2087,7851,9938,14390,1321,26794
74994,27738,25355,0.00082185,0.05,1709621,35165355,10071,92243,102314,148103,3416,269087
142307,8033,2625,0.00163948,0.27,1874270,5695502,93,15165,15258,49099,59,36543
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,4308,9590,158,12643
149955,36504,9381,2.48e-05,0.2,135920,68490979,2745,43214,45959,20717,14898,37097
149793,78568,2030,0.00082487,0.17,9707925,27118251,1574,86853,88427,76822,566,151349
23140,8628,35039,0.00370564,0.2,739906,60468002,13556,46308,59864,135775,1575,145361
100983,44691,9699,0.00082282,0.07,3713475,30343085,8312,97746,106058,135842,2165,250694
55773,16286,14336,0.00041097,0.1,373319,23350367,5721,19313,25034,39790,1104,46452
84008,18577,1006,0.02533638,0.2,39540932,3740510,77,73877,73954,68760,108,85715
30333,14254,14880,0.00041097,0.25,177699,53028812,11407,7381,18788,43953,465,20434
86839,13389,21867,0.01084252,0.03,12607482,8784267,5408,588059,593467,253348,1379,1588297
23962,71633,21505,0.00056263,0.03,965770,46214520,15810,46116,61926,47498,13919,154104
118113,63168,1877,0.00491597,0.27,36678218,32014833,1389,204898,206287,196682,637,485962
38901,3854,43891,0.00108175,0.3,162196,50751830,1889,38007,39896,130032,640,28175
52392,2000,17644,0.02533638,0.2,2655227,7058675,179,65572,65751,137324,85,248432
84614,4018,3725,0.00160539,0.3,545845,4491306,75,6613,6688,29914,47,14793
67996,55908,12112,0.00296184,0.05,11259707,33859293,11433,239740,251173,164522,3298,758334
95682,28543,1972,0.00047003,0.23,1283700,12948869,289,5568,5857,23495,162,17927
49881,6891,20796,0.00082487,0.17,283538,24362044,1288,24131,25419,66033,292,46137
12352,12468,17608,0.02533638,0.17,3902395,37324854,1585,94922,96507,102809,439,356481
62262,12569,11875,0.00108175,0.005,846595,746346,1205,20556,21761,3183,1126,63086
143052,52536,2399,0.00078778,0.07,5920522,8823825,1027,54997,56024,47971,1144,117440
80027,15153,11376,0.00078778,0.2,955350,34478646,1732,35624,37356,109140,636,71745
115963,36450,9188,0.00015297,0.2,646590,66987116,14872,31639,46511,115555,1755,54605
22104,24818,5378,0.00182521,0.25,1001316,33370838,1490,7720,9210,17757,707,37967
22778,10815,19643,0.00056263,0.13,138607,27618796,6532,13860,20392,28763,898,26196
16040,39396,27507,0.00952101,0.001,6016511,1083671,6054,235257,241311,11554,5722,881754
4161,12489,19123,0.01084252,0.17,563597,40603716,1656,14011,15667,18523,9420,59470
110866,73534,17656,0.00182521,0.01,14880151,12983882,11118,755860,766978,181982,5804,1820858
99144,97504,3991,0.00163948,0.15,15848898,58377287,16805,158802,175607,131483,769,399966
52305,19935,7537,0.00296184,0.17,3088399,25546284,1473,44282,45755,70912,310,127442
12228,10281,22617,0.00013363,0.23,16801,53483788,1903,19699,21602,6471,1215,6127
144319,38023,7918,0.00860544,0.005,47222253,1505374,1381,1234024,1235405,106462,1325,2630790
51594,92721,20107,0.00296184,0.01,14169019,18644313,14713,477089,491802,128927,10431,1550798
84555,83918,22255,0.00182521,0.03,12951257,56030479,21183,648800,669983,306278,8598,1733734
